Video ID,PhraseEmojis
2020-0213-143552-042780,"[{'phrase': 'white truck moving ahead of white car', 'split': ['white truck', 'moving ahead of', 'white car'], 'emojis': ['🚚', '➡️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'pedestrians carrying handbags under overpass', 'split': ['pedestrians', 'carrying handbags', 'under overpass'], 'emojis': ['👥', '👜', '🌉'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles moving in same direction on city street', 'split': ['vehicles', 'moving in same direction', 'on city street'], 'emojis': ['🚗', '➡️', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'traffic lights controlling pedestrian crossing', 'split': ['traffic lights', 'controlling', 'pedestrian crossing'], 'emojis': ['🚦', '✅', '🚶'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'white car following white truck on urban road', 'split': ['white car', 'following', 'white truck', 'on urban road'], 'emojis': ['🚗', '👉', '🚚', '🏙️'], 'importance': [0.3, 0.2, 0.3, 0.2]}]"
2020-0213-143552-043267,"[{'phrase': 'white truck driving down street', 'split': ['white truck', 'driving down', 'street'], 'emojis': ['🚚', '🚗', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'black van moving on right side', 'split': ['black van', 'moving on', 'right side'], 'emojis': ['🚐', '🚗', '➡️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles waiting at traffic light', 'split': ['vehicles', 'waiting at', 'traffic light'], 'emojis': ['🚗', '🛑', '🚦'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'pedestrians on busy city street', 'split': ['pedestrians', 'on busy', 'city street'], 'emojis': ['👥', '🏙️', '🚶'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'cars and bus in background', 'split': ['cars', 'and bus', 'in background'], 'emojis': ['🚗', '🚌', '👀'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'white truck and black van in motion', 'split': ['white truck', 'and black van', 'in motion'], 'emojis': ['🚚', '🚐', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'buildings lining city street', 'split': ['buildings', 'lining', 'city street'], 'emojis': ['🏢', '📈', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles driving in same direction', 'split': ['vehicles', 'driving in', 'same direction'], 'emojis': ['🚗', '🚗', '➡️'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'truck and van on left and right', 'split': ['truck', 'and van', 'on left and right'], 'emojis': ['🚚', '🚐', '⬅️➡️'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'city street with moving vehicles', 'split': ['city street', 'with moving', 'vehicles'], 'emojis': ['🏙️', '🚗', '🚌'], 'importance': [0.4, 0.3, 0.3]}]"
2020-0217-110854-001129,"[{'phrase': 'vehicles navigating through intersection', 'split': ['vehicles', 'navigating', 'through intersection'], 'emojis': ['🚗', '🚧', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'red motorcycle turning left', 'split': ['red motorcycle', 'turning left'], 'emojis': ['🛵', '⬅️'], 'importance': [0.6, 0.4]}, {'phrase': 'cars and trucks driving on right side', 'split': ['cars and trucks', 'driving', 'on right side'], 'emojis': ['🚗', '🚚', '➡️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'pedestrians walking on sidewalks', 'split': ['pedestrians', 'walking', 'on sidewalks'], 'emojis': ['👥', '🚶', '🛣️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'motorcycle rider wearing helmet', 'split': ['motorcycle rider', 'wearing helmet'], 'emojis': ['🛵', '👒'], 'importance': [0.6, 0.4]}, {'phrase': 'vehicles moving through modern urban setting', 'split': ['vehicles', 'moving', 'through modern urban setting'], 'emojis': ['🚗', '🚧', '🏙️'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'cars turning straight at intersection', 'split': ['cars', 'turning straight', 'at intersection'], 'emojis': ['🚗', '⬆️', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'traffic flowing through downtown area', 'split': ['traffic', 'flowing', 'through downtown area'], 'emojis': ['🚗', '🚧', '🏙️'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'motorcycles driving on city streets', 'split': ['motorcycles', 'driving', 'on city streets'], 'emojis': ['🛵', '🚧', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles stopping at intersection', 'split': ['vehicles', 'stopping', 'at intersection'], 'emojis': ['🚗', '🛑', '🚦'], 'importance': [0.4, 0.3, 0.3]}]"
2020-0206-101736-007503,"[{'phrase': 'red car driving on right side', 'split': ['red car', 'driving', 'on right side'], 'emojis': ['🚗', '🚗', '➡️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'black car on left side moving', 'split': ['black car', 'on left side', 'moving'], 'emojis': ['🚗', '⬅️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'pedestrians walking on sidewalks', 'split': ['pedestrians', 'walking', 'on sidewalks'], 'emojis': ['👥', '🚶', '🚶'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'bicycle parked on street side', 'split': ['bicycle', 'parked', 'on street side'], 'emojis': ['🚴', '🛑', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'cars moving with traffic lights', 'split': ['cars', 'moving', 'with traffic lights'], 'emojis': ['🚗', '🚗', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban street with active traffic', 'split': ['urban street', 'with active traffic'], 'emojis': ['🏙️', '🚗'], 'importance': [0.6, 0.4]}, {'phrase': 'red car and black car in motion', 'split': ['red car', 'and black car', 'in motion'], 'emojis': ['🚗', '🚗', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'buildings lining the city street', 'split': ['buildings', 'lining', 'the city street'], 'emojis': ['🏢', '📈', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'traffic lights guiding car movement', 'split': ['traffic lights', 'guiding', 'car movement'], 'emojis': ['🚦', '🚗', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'city street with pedestrians and cars', 'split': ['city street', 'with pedestrians', 'and cars'], 'emojis': ['🏙️', '👥', '🚗'], 'importance': [0.4, 0.3, 0.3]}]"
2020-0203-154554-014504,"[{'phrase': 'cars turning at intersection', 'split': ['cars', 'turning', 'at intersection'], 'emojis': ['🚗', '➡️', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'pedestrians crossing at crosswalks', 'split': ['pedestrians', 'crossing', 'at crosswalks'], 'emojis': ['👥', '🚶', '🚧'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles waiting at traffic light', 'split': ['vehicles', 'waiting', 'at traffic light'], 'emojis': ['🚗', '🛑', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'clock tower in city background', 'split': ['clock tower', 'in city', 'background'], 'emojis': ['🕰️', '🏙️', '🌆'], 'importance': [0.5, 0.3, 0.2]}, {'phrase': 'cars and pedestrians in urban setting', 'split': ['cars', 'and pedestrians', 'in urban setting'], 'emojis': ['🚗', '👥', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'traffic light regulating vehicles', 'split': ['traffic light', 'regulating', 'vehicles'], 'emojis': ['🚦', '🛑', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'modern and traditional architecture', 'split': ['modern', 'and traditional', 'architecture'], 'emojis': ['🏢', '🏯', '🌆'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles moving in cloudy weather', 'split': ['vehicles', 'moving', 'in cloudy weather'], 'emojis': ['🚗', '🚗', '☁️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'pedestrians and cars at intersection', 'split': ['pedestrians', 'and cars', 'at intersection'], 'emojis': ['👥', '🚗', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'city intersection with clock tower', 'split': ['city intersection', 'with clock tower'], 'emojis': ['🚦', '🕰️'], 'importance': [0.6, 0.4]}]"
2020-0228-150133-063806,"[{'phrase': 'vehicles moving in both directions', 'split': ['vehicles', 'moving', 'in both directions'], 'emojis': ['🚗', '➡️', '🚦'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'cars trucks and vans in motion', 'split': ['cars', 'trucks and vans', 'in motion'], 'emojis': ['🚗', '🚚', '⚙️'], 'importance': [0.35, 0.35, 0.3]}, {'phrase': 'urban street with traffic lights', 'split': ['urban street', 'with traffic lights'], 'emojis': ['🏙️', '🚦'], 'importance': [0.5, 0.5]}, {'phrase': 'pedestrians and vehicles coexisting', 'split': ['pedestrians', 'and vehicles', 'coexisting'], 'emojis': ['👥', '🚗', '🤝'], 'importance': [0.35, 0.35, 0.3]}, {'phrase': 'city street lined with buildings', 'split': ['city street', 'lined with buildings'], 'emojis': ['🏙️', '🏢'], 'importance': [0.5, 0.5]}, {'phrase': 'vehicles of different colors and sizes', 'split': ['vehicles', 'of different colors', 'and sizes'], 'emojis': ['🚗', '🎨', '📏'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'busy urban environment with traffic', 'split': ['busy urban environment', 'with traffic'], 'emojis': ['🏙️', '🚗'], 'importance': [0.6, 0.4]}, {'phrase': 'city life with vehicles and pedestrians', 'split': ['city life', 'with vehicles', 'and pedestrians'], 'emojis': ['🏙️', '🚗', '👥'], 'importance': [0.35, 0.35, 0.3]}, {'phrase': 'typical cityscape with traffic lights and pedestrians', 'split': ['typical cityscape', 'with traffic lights', 'and pedestrians'], 'emojis': ['🏙️', '🚦', '👥'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban setting with buildings and vehicles', 'split': ['urban setting', 'with buildings', 'and vehicles'], 'emojis': ['🏙️', '🏢', '🚗'], 'importance': [0.35, 0.35, 0.3]}]"
2020-0206-101736-040723,"[{'phrase': 'cars driving down street', 'split': ['cars', 'driving down', 'street'], 'emojis': ['🚗', '🚧', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles varying in size and color', 'split': ['vehicles', 'varying in size', 'and color'], 'emojis': ['🚚', '📏', '🎨'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban setting with buildings', 'split': ['urban setting', 'with buildings'], 'emojis': ['🏙️', '🏢'], 'importance': [0.5, 0.5]}, {'phrase': 'busy street with cars and truck', 'split': ['busy street', 'with cars', 'and truck'], 'emojis': ['🚧', '🚗', '🚚'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'cars in motion on city street', 'split': ['cars', 'in motion', 'on city street'], 'emojis': ['🚗', '🚗', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'typical day in city with traffic', 'split': ['typical day', 'in city', 'with traffic'], 'emojis': ['📆', '🏙️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'movement of vehicles on street', 'split': ['movement', 'of vehicles', 'on street'], 'emojis': ['🚗', '🚚', '🚧'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'interaction of cars on urban road', 'split': ['interaction', 'of cars', 'on urban road'], 'emojis': ['🚗', '🚗', '🚧'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'city street filled with moving cars', 'split': ['city street', 'filled with', 'moving cars'], 'emojis': ['🏙️', '🚧', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'traffic with cars and buildings nearby', 'split': ['traffic', 'with cars', 'and buildings nearby'], 'emojis': ['🚗', '🚗', '🏢'], 'importance': [0.4, 0.3, 0.3]}]"
2020-0205-152530-033497,"[{'phrase': 'cars and trucks driving on road', 'split': ['cars and trucks', 'driving', 'on road'], 'emojis': ['🚗', '🚚', '🛣️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles moving with lane dividers', 'split': ['vehicles', 'moving', 'with lane dividers'], 'emojis': ['🚗', '🚚', '⬅️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'cars and trucks of various sizes', 'split': ['cars and trucks', 'of various sizes'], 'emojis': ['🚗', '🚚', '📏'], 'importance': [0.6, 0.4]}, {'phrase': 'buildings with trees and greenery', 'split': ['buildings', 'with trees', 'and greenery'], 'emojis': ['🏢', '🌳', '🌿'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'overcast sky above city street', 'split': ['overcast sky', 'above city street'], 'emojis': ['⛅️', '🏙️'], 'importance': [0.5, 0.5]}, {'phrase': 'urban life with vehicles and buildings', 'split': ['urban life', 'with vehicles', 'and buildings'], 'emojis': ['🏙️', '🚗', '🏢'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'city street with lane dividers and arrows', 'split': ['city street', 'with lane dividers', 'and arrows'], 'emojis': ['🏙️', '⬅️', '➡️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles driving on structured traffic road', 'split': ['vehicles', 'driving', 'on structured traffic road'], 'emojis': ['🚗', '🚚', '🛣️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'commercial and residential buildings nearby', 'split': ['commercial and residential buildings', 'nearby'], 'emojis': ['🏢', '📍'], 'importance': [0.7, 0.3]}, {'phrase': 'city values nature with green spaces', 'split': ['city', 'values nature', 'with green spaces'], 'emojis': ['🏙️', '🌿', '🌳'], 'importance': [0.3, 0.4, 0.3]}]"
2020-0207-151349-043007,"[{'phrase': 'cars and trucks moving in both directions', 'split': ['cars', 'trucks', 'moving', 'in both directions'], 'emojis': ['🚗', '🚚', '🚗➡️', '⬅️➡️'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'pedestrian walkway separated from road', 'split': ['pedestrian walkway', 'separated from', 'road'], 'emojis': ['🚶', '⬅️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'modern buildings lining the street', 'split': ['modern buildings', 'lining the', 'street'], 'emojis': ['🏢', '📈', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles moving on multi lane road', 'split': ['vehicles', 'moving', 'on multi lane', 'road'], 'emojis': ['🚗', '🚗➡️', '🚧', '🚗'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'tall buildings with large windows', 'split': ['tall buildings', 'with large', 'windows'], 'emojis': ['🏢', '🔍', '🪟'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'clear blue sky with strong sunlight', 'split': ['clear blue sky', 'with strong', 'sunlight'], 'emojis': ['☀️', '🌞', '💡'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'concrete barrier separating walkway from road', 'split': ['concrete barrier', 'separating', 'walkway', 'from road'], 'emojis': ['🚧', '⬅️', '🚶', '🚗'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'busy city street with moving vehicles', 'split': ['busy city street', 'with moving', 'vehicles'], 'emojis': ['🏙️', '🚗➡️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban landscape with modern architecture', 'split': ['urban landscape', 'with modern', 'architecture'], 'emojis': ['🏙️', '📈', '🏢'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'city street with tall buildings and vehicles', 'split': ['city street', 'with tall buildings', 'and vehicles'], 'emojis': ['🏙️', '🏢', '🚗'], 'importance': [0.33, 0.33, 0.34]}]"
2020-0206-101736-002813,"[{'phrase': 'red car driving on right side', 'split': ['red car', 'driving', 'on right side'], 'emojis': ['🚗', '🚗', '➡️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'motorcycle on left side moving', 'split': ['motorcycle', 'on left side', 'moving'], 'emojis': ['🏍️', '⬅️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'pedestrians on busy street walking', 'split': ['pedestrians', 'on busy street', 'walking'], 'emojis': ['👥', '🚶', '🚶'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban area with buildings and signs', 'split': ['urban area', 'with buildings', 'and signs'], 'emojis': ['🏙️', '🏢', '📣'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'vehicles and people in commercial area', 'split': ['vehicles', 'and people', 'in commercial area'], 'emojis': ['🚗', '👥', '🏙️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'red car and motorcycle in motion', 'split': ['red car', 'and motorcycle', 'in motion'], 'emojis': ['🚗', '🏍️', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'city street with multiple vehicles', 'split': ['city street', 'with multiple vehicles'], 'emojis': ['🚦', '🚗'], 'importance': [0.6, 0.4]}, {'phrase': 'busy street with pedestrians and vehicles', 'split': ['busy street', 'with pedestrians', 'and vehicles'], 'emojis': ['🚶', '👥', '🚗'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'commercial area with red car and motorcycle', 'split': ['commercial area', 'with red car', 'and motorcycle'], 'emojis': ['🏙️', '🚗', '🏍️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban street scene with moving vehicles', 'split': ['urban street scene', 'with moving vehicles'], 'emojis': ['🏙️', '🚗'], 'importance': [0.6, 0.4]}]"
