Video ID,PhraseEmojis
dc4UltkRJsw_53_59,"[{'phrase': 'boy observes unusual tree trunk', 'split': ['boy', 'observes', 'unusual tree trunk'], 'emojis': ['👦', '👀', '🌳'], 'importance': [0.3, 0.2, 0.5]}, {'phrase': 'white shirt boy with backpack', 'split': ['white shirt', 'boy', 'with backpack'], 'emojis': ['👕', '👦', '🎒'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'cars and motorcycle near object', 'split': ['cars', 'and motorcycle', 'near object'], 'emojis': ['🚗', '🏍️', '📍'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'urban setting with buildings', 'split': ['urban setting', 'with buildings'], 'emojis': ['🏙️', '🏢'], 'importance': [0.4, 0.6]}, {'phrase': 'boy gazes at large object', 'split': ['boy', 'gazes at', 'large object'], 'emojis': ['👦', '👀', '🔍'], 'importance': [0.3, 0.2, 0.5]}, {'phrase': 'vehicles parked near tree trunk', 'split': ['vehicles', 'parked near', 'tree trunk'], 'emojis': ['🚗', '🅿️', '🌳'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'street with cars and motorcycle', 'split': ['street', 'with cars', 'and motorcycle'], 'emojis': ['🚗', '🚦', '🏍️'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'boy stands in foreground', 'split': ['boy', 'stands in', 'foreground'], 'emojis': ['👦', '🛋️', '🔁'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'unusual object in background', 'split': ['unusual object', 'in background'], 'emojis': ['🔍', '🔙'], 'importance': [0.6, 0.4]}, {'phrase': 'boy with backpack observes object', 'split': ['boy with backpack', 'observes', 'object'], 'emojis': ['👦🎒', '👀', '🔍'], 'importance': [0.4, 0.2, 0.4]}]"
rw9h_574HxE_13_18,"[{'phrase': 'man eating with spoon', 'split': ['man', 'eating', 'with spoon'], 'emojis': ['👨', '🍴', '🥄'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'woman pouring water from pitcher', 'split': ['woman', 'pouring water', 'from pitcher'], 'emojis': ['👩', '💧', '🥛'], 'importance': [0.4, 0.4, 0.2]}, {'phrase': 'kitchen with refrigerator and countertop', 'split': ['kitchen', 'with refrigerator', 'and countertop'], 'emojis': ['🏠', '📦', '🛋️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'man and woman sharing meal', 'split': ['man', 'and woman', 'sharing meal'], 'emojis': ['👨', '👩', '🍴'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'curry and rice on dining table', 'split': ['curry', 'and rice', 'on dining table'], 'emojis': ['🍛', '🍚', '🛋️'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'glass of water on table', 'split': ['glass', 'of water', 'on table'], 'emojis': ['🍸', '💧', '🛋️'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'man eating at dining table', 'split': ['man', 'eating', 'at dining table'], 'emojis': ['👨', '🍴', '🛋️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'woman at kitchen table pouring water', 'split': ['woman', 'at kitchen table', 'pouring water'], 'emojis': ['👩', '🏠', '💧'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'dining table with curry and rice', 'split': ['dining table', 'with curry', 'and rice'], 'emojis': ['🛋️', '🍛', '🍚'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'kitchen scene with man and woman', 'split': ['kitchen scene', 'with man', 'and woman'], 'emojis': ['🏠', '👨', '👩'], 'importance': [0.4, 0.3, 0.3]}]"
uy0HNWto0UY_18_25,"[{'phrase': 'man rolling on floor', 'split': ['man', 'rolling', 'on floor'], 'emojis': ['👨', '🔄', '🛋️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'shirtless man rolling', 'split': ['shirtless', 'man', 'rolling'], 'emojis': ['❌️💼', '👨', '🔄'], 'importance': [0.2, 0.4, 0.4]}, {'phrase': 'man falling on floor', 'split': ['man', 'falling', 'on floor'], 'emojis': ['👨', '⬇️', '🛋️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'bedroom with white comforter', 'split': ['bedroom', 'with white comforter'], 'emojis': ['🛋️', '⬜️'], 'importance': [0.6, 0.4]}, {'phrase': 'window with sheer curtains', 'split': ['window', 'with sheer curtains'], 'emojis': ['🪟', '🌿'], 'importance': [0.5, 0.5]}, {'phrase': 'natural light in room', 'split': ['natural light', 'in room'], 'emojis': ['☀️', '🛋️'], 'importance': [0.6, 0.4]}, {'phrase': 'man on floor with bed', 'split': ['man', 'on floor', 'with bed'], 'emojis': ['👨', '🛋️', '🛏️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'rolling man in bedroom', 'split': ['rolling', 'man', 'in bedroom'], 'emojis': ['🔄', '👨', '🛋️'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'man rolling near window', 'split': ['man', 'rolling', 'near window'], 'emojis': ['👨', '🔄', '🪟'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'shirtless man in bedroom', 'split': ['shirtless', 'man', 'in bedroom'], 'emojis': ['❌️💼', '👨', '🛋️'], 'importance': [0.2, 0.4, 0.4]}]"
lGk1MA6YP-M_36_48,"[{'phrase': 'rider on horse in arena', 'split': ['rider', 'on horse', 'in arena'], 'emojis': ['👧', '🐴', '🏟️'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'horse walking on dirt surface', 'split': ['horse', 'walking', 'on dirt surface'], 'emojis': ['🐴', '🚶', '🌀'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'rider holding reins on horse', 'split': ['rider', 'holding reins', 'on horse'], 'emojis': ['👧', '🤚', '🐴'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'light brown horse with white mane', 'split': ['light brown horse', 'with white mane'], 'emojis': ['🐴', '⬜️'], 'importance': [0.6, 0.4]}, {'phrase': 'empty seats in indoor arena', 'split': ['empty seats', 'in indoor arena'], 'emojis': ['💺', '🏟️'], 'importance': [0.5, 0.5]}, {'phrase': 'rider controlling horse movements', 'split': ['rider', 'controlling horse movements'], 'emojis': ['👧', '🐴'], 'importance': [0.4, 0.6]}, {'phrase': 'horse and rider in empty arena', 'split': ['horse and rider', 'in empty arena'], 'emojis': ['🐴', '🏟️'], 'importance': [0.5, 0.5]}, {'phrase': 'person riding horse on dirt', 'split': ['person', 'riding horse', 'on dirt'], 'emojis': ['👧', '🐴', '🌀'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'rider seated on light brown horse', 'split': ['rider', 'seated on light brown horse'], 'emojis': ['👧', '🐴'], 'importance': [0.4, 0.6]}, {'phrase': 'horse walking with rider in arena', 'split': ['horse walking', 'with rider', 'in arena'], 'emojis': ['🐴', '👧', '🏟️'], 'importance': [0.4, 0.3, 0.3]}]"
r0rmrbTb7fU_98_109,"[{'phrase': 'person applies makeup with brush', 'split': ['person', 'applies makeup', 'with brush'], 'emojis': ['👨', '🎨', '🖌️'], 'importance': [0.3, 0.4, 0.3]}, {'phrase': 'hand holds silver brush steady', 'split': ['hand', 'holds', 'silver brush', 'steady'], 'emojis': ['🖐️', '🤚', '🔝', '⚖️'], 'importance': [0.2, 0.2, 0.4, 0.2]}, {'phrase': 'black bristle brush on eyelid', 'split': ['black bristle brush', 'on eyelid'], 'emojis': ['🖌️', '👀'], 'importance': [0.6, 0.4]}, {'phrase': 'makeup application in indoor setting', 'split': ['makeup application', 'in indoor setting'], 'emojis': ['🎨', '🏠'], 'importance': [0.5, 0.5]}, {'phrase': 'neutral background with makeup brush', 'split': ['neutral background', 'with makeup brush'], 'emojis': ['🌫️', '🖌️'], 'importance': [0.4, 0.6]}, {'phrase': 'person uses brush for eyelid makeup', 'split': ['person', 'uses brush', 'for eyelid makeup'], 'emojis': ['👨', '🖌️', '👀'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'silver brush applies product to eyelid', 'split': ['silver brush', 'applies product', 'to eyelid'], 'emojis': ['🔝', '🎨', '👀'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'brush with black bristle for makeup', 'split': ['brush', 'with black bristle', 'for makeup'], 'emojis': ['🖌️', '⚫️', '🎨'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'indoor makeup application with brush', 'split': ['indoor', 'makeup application', 'with brush'], 'emojis': ['🏠', '🎨', '🖌️'], 'importance': [0.2, 0.5, 0.3]}, {'phrase': 'makeup brush used on eyelid by person', 'split': ['makeup brush', 'used on eyelid', 'by person'], 'emojis': ['🖌️', '👀', '👨'], 'importance': [0.4, 0.3, 0.3]}]"
YmXCfQm0_CA_277_284,"[{'phrase': 'snake coiled on leaves', 'split': ['snake', 'coiled on', 'leaves'], 'emojis': ['🐍', '💤', '🍁'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'black snake with yellow stripe', 'split': ['black snake', 'with', 'yellow stripe'], 'emojis': ['🐍', '🔀', '💛'], 'importance': [0.4, 0.2, 0.4]}, {'phrase': 'snake resting on leaf bed', 'split': ['snake', 'resting on', 'leaf bed'], 'emojis': ['🐍', '💤', '🌿'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'leaves in yellow orange brown colors', 'split': ['leaves', 'in', 'yellow orange brown colors'], 'emojis': ['🍁', '🔴', '🟠'], 'importance': [0.3, 0.2, 0.5]}, {'phrase': 'snake surrounded by fallen leaves', 'split': ['snake', 'surrounded by', 'fallen leaves'], 'emojis': ['🐍', '🌳', '🍁'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'no animals in background', 'split': ['no animals', 'in', 'background'], 'emojis': ['🦊', '🔴', '🌄'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'snake on natural leaf carpet', 'split': ['snake', 'on', 'natural leaf carpet'], 'emojis': ['🐍', '🛋️', '🌿'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'wild scene with snake and leaves', 'split': ['wild scene', 'with', 'snake and leaves'], 'emojis': ['🌄', '🐍', '🍁'], 'importance': [0.3, 0.2, 0.5]}, {'phrase': 'autumn leaves around snake', 'split': ['autumn leaves', 'around', 'snake'], 'emojis': ['🍁', '🌳', '🐍'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'snake preparing to slither away', 'split': ['snake', 'preparing to', 'slither away'], 'emojis': ['🐍', '🔜', '👋'], 'importance': [0.4, 0.3, 0.3]}]"
jDFn-1lXJ98_71_80,"[{'phrase': 'dog running in grassy area', 'split': ['dog', 'running', 'in grassy area'], 'emojis': ['🐶', '🏃', '🌿'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'small dog sitting on sidewalk', 'split': ['small dog', 'sitting', 'on sidewalk'], 'emojis': ['🐶', '🛋️', '🚶'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'gray dog standing near tree', 'split': ['gray dog', 'standing', 'near tree'], 'emojis': ['🐶', '🙋', '🌳'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'dog with black nose interacting humans', 'split': ['dog', 'with black nose', 'interacting humans'], 'emojis': ['🐶', '👃', '👥'], 'importance': [0.3, 0.3, 0.4]}, {'phrase': 'white and gray dog moving freely outdoors', 'split': ['white and gray dog', 'moving freely', 'outdoors'], 'emojis': ['🐶', '🏃', '🏞️'], 'importance': [0.4, 0.3, 0.3]}]"
yC4eEuURH8c_19_28,"[{'phrase': 'kitten walks on bed', 'split': ['kitten', 'walks', 'on bed'], 'emojis': ['🐈', '🚶', '🛏️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'orange kitten explores white sheet', 'split': ['orange kitten', 'explores', 'white sheet'], 'emojis': ['🐱', '🔍', '🛋️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'kitten plays near window', 'split': ['kitten', 'plays', 'near window'], 'emojis': ['🐈', '🤸', '🌆'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'black suitcase on floor', 'split': ['black suitcase', 'on floor'], 'emojis': ['🧳', '🛋️'], 'importance': [0.6, 0.4]}, {'phrase': 'kitten walks across bed near suitcase', 'split': ['kitten', 'walks', 'across bed', 'near suitcase'], 'emojis': ['🐈', '🚶', '🛏️', '🧳'], 'importance': [0.3, 0.25, 0.2, 0.25]}, {'phrase': 'natural light illuminates kitten', 'split': ['natural light', 'illuminates', 'kitten'], 'emojis': ['☀️', '💡', '🐈'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'kitten explores room with window', 'split': ['kitten', 'explores', 'room', 'with window'], 'emojis': ['🐈', '🔍', '🏠', '🌆'], 'importance': [0.3, 0.2, 0.2, 0.3]}, {'phrase': 'small kitten on white bed', 'split': ['small kitten', 'on white bed'], 'emojis': ['🐱', '🛋️'], 'importance': [0.6, 0.4]}, {'phrase': 'kitten moves near black suitcase', 'split': ['kitten', 'moves', 'near black suitcase'], 'emojis': ['🐈', '🚶', '🧳'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'curious kitten walks on bed sheet', 'split': ['curious kitten', 'walks', 'on bed sheet'], 'emojis': ['🐈', '🚶', '🛏️'], 'importance': [0.4, 0.3, 0.3]}]"
wSwwS_0MKEc_68_78,"[{'phrase': 'man drinks beer from mug', 'split': ['man', 'drinks beer', 'from mug'], 'emojis': ['👨', '🍺', '🛍️'], 'importance': [0.4, 0.4, 0.2]}, {'phrase': 'man in suit holds beer mug', 'split': ['man in suit', 'holds beer mug'], 'emojis': ['👕', '🍺'], 'importance': [0.6, 0.4]}, {'phrase': 'beer mug and book on table', 'split': ['beer mug', 'and book', 'on table'], 'emojis': ['🍺', '📖', '🛋️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'man with mustache drinks beer', 'split': ['man with mustache', 'drinks beer'], 'emojis': ['👨', '🍺'], 'importance': [0.5, 0.5]}, {'phrase': 'bottle and book in background', 'split': ['bottle', 'and book', 'in background'], 'emojis': ['🍸', '📖', '🖼️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'man in tie holds large mug', 'split': ['man in tie', 'holds large mug'], 'emojis': ['👔', '🛍️'], 'importance': [0.5, 0.5]}]"
W8_63NiTENw_23_30,"[{'phrase': 'man cooking meat on grill', 'split': ['man', 'cooking', 'meat', 'on grill'], 'emojis': ['👨', '🍳', '🍖', '🔥'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'grill with meat and spatula', 'split': ['grill', 'with meat', 'and spatula'], 'emojis': ['🔥', '🍖', '🥄'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'man turning meat with spatula', 'split': ['man', 'turning', 'meat', 'with spatula'], 'emojis': ['👨', '🔄', '🍖', '🥄'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'dining table with bottle and bowl', 'split': ['dining table', 'with bottle', 'and bowl'], 'emojis': ['🛋️', '🍸', '🍜'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'outdoor cooking with wheelbarrow', 'split': ['outdoor', 'cooking', 'with wheelbarrow'], 'emojis': ['🏞️', '🍳', '🛠️'], 'importance': [0.33, 0.33, 0.34]}, {'phrase': 'man cooking at outdoor grill', 'split': ['man', 'cooking', 'at outdoor', 'grill'], 'emojis': ['👨', '🍳', '🏞️', '🔥'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'grill and dining table setup', 'split': ['grill', 'and dining table', 'setup'], 'emojis': ['🔥', '🛋️', '👍'], 'importance': [0.4, 0.4, 0.2]}, {'phrase': 'man preparing meal on grill', 'split': ['man', 'preparing', 'meal', 'on grill'], 'emojis': ['👨', '🍲', '🍴', '🔥'], 'importance': [0.25, 0.25, 0.25, 0.25]}, {'phrase': 'outdoor space with grill and wheelbarrow', 'split': ['outdoor space', 'with grill', 'and wheelbarrow'], 'emojis': ['🏞️', '🔥', '🛠️'], 'importance': [0.4, 0.3, 0.3]}, {'phrase': 'cooking meal on outdoor grill', 'split': ['cooking', 'meal', 'on outdoor', 'grill'], 'emojis': ['🍳', '🍴', '🏞️', '🔥'], 'importance': [0.25, 0.25, 0.25, 0.25]}]"
